wind_speed,wind_direction
16.0,124.96
16.0,128.79
15.97,94.84
15.94,106.59
15.9,94.28
15.9,306.76
15.9,85.95
15.9,94.5
15.9,95.59
15.9,118.52
15.9,122.22
15.9,76.1
15.9,82.11
15.89,100.41
15.8,63.81
15.8,121.25
15.8,65.97
15.8,95.54
15.8,134.35
15.8,126.61
15.74,27.52
15.72,126.82
15.7,126.01
15.7,95.72
15.7,123.35
15.7,127.93
15.7,302.76
15.7,104.46
15.7,100.92
15.7,61.67
15.7,293.0
15.7,119.2
15.7,101.14
15.7,125.58
15.7,313.1
15.7,72.46
15.7,126.96
15.69,93.53
15.68,126.84
15.68,102.57
15.66,85.93
15.64,121.69
15.61,118.32
15.6,306.13
15.6,134.1
15.6,92.23
15.6,118.36
15.6,84.66
15.6,75.45
15.6,149.86
15.6,111.7
15.6,96.2
15.6,127.81
15.6,112.65
15.6,309.12
15.59,94.75
15.58,93.67
15.51,130.3
15.51,125.53
15.51,146.22
15.5,123.11
15.5,82.0
15.5,82.0
15.5,82.0
15.5,126.8
15.5,102.28
15.5,65.15
15.5,87.66
15.5,124.19
15.5,117.78
15.5,121.0
15.5,126.36
15.5,119.08
15.47,288.39
15.47,126.83
15.46,144.6
15.46,130.06
15.46,346.31
15.46,117.87
15.44,137.69
15.44,109.27
15.43,99.2
15.43,136.18
15.43,108.79
15.41,319.7
15.4,82.25
15.4,111.49
15.4,94.54
15.4,91.46
15.4,94.36
15.4,82.51
15.4,87.98
15.4,93.41
15.4,116.67
15.4,324.59
15.4,321.18
15.4,130.17
15.4,99.77
15.38,32.82
15.35,120.84
15.35,130.0
15.34,155.02
15.34,128.36
15.31,315.32
15.31,288.07
15.31,130.14
15.31,83.82
15.31,59.4
15.31,82.24
15.31,20.76
15.31,343.38
15.3,101.19
15.3,127.96
15.3,84.76
15.3,129.9
15.3,299.82
15.3,265.0
15.3,114.56
15.3,119.21
15.3,117.37
15.29,107.08
15.29,300.4
15.29,106.99
15.27,127.53
15.27,299.78
15.27,71.45
15.27,94.86
15.26,296.82
15.25,356.31
15.25,305.19
15.24,114.93
15.24,131.46
15.23,101.36
15.22,121.38
15.22,299.06
15.22,127.82
15.22,106.06
15.21,103.36
15.21,298.07
15.21,130.04
15.2,137.6
15.2,124.71
15.2,122.22
15.2,80.16
15.2,137.84
15.2,129.57
15.2,117.19
15.2,121.82
15.2,115.5
15.2,104.1
15.2,294.8
15.2,83.11
15.2,52.64
15.2,130.01
15.18,119.27
15.18,298.45
15.17,132.02
15.17,353.28
15.17,45.98
15.17,112.98
15.16,347.17
15.16,354.31
15.16,114.52
15.15,117.39
15.15,98.43
15.15,101.8
15.13,295.77
15.13,118.16
15.12,123.96
15.11,128.26
15.11,312.57
15.11,128.49
15.11,127.42
15.11,11.58
15.1,115.79
15.1,127.78
15.1,97.32
15.1,79.62
15.1,111.73
15.1,131.01
15.1,124.31
15.1,91.49
15.1,95.91
15.1,104.89
15.1,86.9
15.1,74.35
15.09,107.79
15.08,119.51
15.08,10.05
15.07,297.18
15.07,330.53
15.06,291.04
15.06,127.07
15.04,9.53
15.02,122.54
15.02,140.49
15.01,334.28
15.0,128.38
15.0,75.94
15.0,99.07
15.0,103.46
15.0,130.63
15.0,109.61
15.0,310.89
15.0,99.87
15.0,93.97
14.99,104.14
14.98,118.12
14.98,52.81
14.97,120.26
14.97,104.89
14.96,120.94
14.95,285.32
14.95,116.52
14.93,346.97
14.91,116.52
14.91,355.52
14.9,125.69
14.9,123.56
14.9,124.15
14.9,122.16
14.9,114.75
14.9,79.93
14.9,107.74
14.9,310.55
14.9,99.83
14.9,87.83
14.9,136.03
14.9,120.89
14.9,119.53
14.9,118.29
14.9,22.09
14.9,102.66
14.88,121.32
14.86,351.9
14.86,104.59
14.86,28.65
14.84,122.38
14.84,300.23
14.83,36.95
14.83,39.19
14.82,300.47
14.81,31.39
14.81,302.28
14.8,120.47
14.8,130.53
14.8,131.18
14.8,98.99
14.8,107.39
14.8,109.4
14.8,120.04
14.8,108.55
14.8,116.73
14.8,259.5
14.8,96.86
14.8,132.26
14.8,89.08
14.8,87.6
14.8,119.28
14.76,120.06
14.76,117.27
14.75,39.36
14.72,103.88
14.7,90.1
14.7,121.97
14.7,357.17
14.7,92.7
14.7,122.17
14.7,95.29
14.7,135.21
14.7,114.06
14.7,91.87
14.7,81.86
14.7,114.21
14.69,303.87
14.67,126.3
14.67,106.27
14.66,125.46
14.64,108.55
14.64,130.24
14.62,131.05
14.62,78.93
14.62,114.04
14.6,115.17
14.6,108.7
14.6,78.8
14.6,91.83
14.6,132.26
14.6,130.28
14.6,109.74
14.6,86.72
14.6,320.9
14.6,101.56
14.6,98.61
14.6,118.42
14.6,90.21
14.6,62.16
14.6,96.5
14.6,103.69
14.54,94.13
14.52,133.62
14.5,123.93
14.5,126.15
14.5,116.02
14.5,126.11
14.5,126.24
14.5,102.22
14.5,128.39
